what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.2.v201001260400,"org.eclipse.datatools.enablement.oda.ws.ui",1276260765626
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.2.1.v201001191820,"org.eclipse.datatools.enablement.oda.xml.ui",1276260765629
stopped,bundle,org.eclipse.datatools.connectivity.oda.design.ui,3.2.2.v201001210350,"org.eclipse.datatools.connectivity.oda.design.ui",1276260765631
stopped,bundle,org.eclipse.datatools.connectivity.ui,1.1.5.v201001190218,"org.eclipse.datatools.connectivity.ui",1276260765636
stopped,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1276260765638
stopped,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1276260765638
stopped,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1276260765638
stopped,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1276260765638
stopped,bundle,org.eclipse.wst.css.core,1.1.301.v200910161432,"org.eclipse.wst.css.core",1276260765638
stopped,bundle,org.eclipse.wst.wsdl.validation,1.1.402.v200911251542,"org.eclipse.wst.wsdl.validation",1276260765638
stopped,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1276260765642
stopped,bundle,org.eclipse.wst.common.core,1.1.201.v200806010600,"org.eclipse.wst.common.core",1276260765643
stopped,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1276260765643
stopped,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1276260765643
stopped,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1276260765643
stopped,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1276260765644
stopped,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1276260765644
stopped,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1276260765644
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby,1.0.100.v200906020900,"org.eclipse.datatools.connectivity.apache.derby",1276260765645
stopped,bundle,org.eclipse.datatools.sqltools.data.core,1.1.0.v200910161545,"org.eclipse.datatools.sqltools.data.core",1276260765645
stopped,bundle,org.eclipse.datatools.sqltools.result,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.result",1276260765648
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.4.0.v200906151043,"org.eclipse.emf.mapping.ecore2ecore.editor",1276260765649
stopped,bundle,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.editor",1276260765649
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.5.0.v200906151043,"org.eclipse.emf.mapping.ecore2xml.ui",1276260765650
stopped,bundle,org.eclipse.emf.mapping.ui,2.5.0.v200906151043,"org.eclipse.emf.mapping.ui",1276260765651
stopped,bundle,org.eclipse.emf.edit.ui,2.5.0.v200906151043,"org.eclipse.emf.edit.ui",1276260765654
stopped,bundle,org.eclipse.emf.common.ui,2.5.0.v200906151043,"org.eclipse.emf.common.ui",1276260765654
stopped,bundle,org.eclipse.datatools.enablement.hsqldb,1.0.0.v200906020900,"org.eclipse.datatools.enablement.hsqldb",1276260765655
stopped,bundle,org.eclipse.datatools.sqltools.sql.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sql.ui",1276260765656
stopped,bundle,org.eclipse.datatools.sqltools.sql,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sql",1276260765657
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.iseries,1.0.1.v200906020900,"org.eclipse.datatools.enablement.ibm.db2.iseries",1276260765658
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.luw,1.0.1.v200906020900,"org.eclipse.datatools.enablement.ibm.db2.luw",1276260765658
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.zseries,1.0.1.v200906020900,"org.eclipse.datatools.enablement.ibm.db2.zseries",1276260765660
stopped,bundle,org.eclipse.datatools.enablement.postgresql,1.0.1.v200906020900,"org.eclipse.datatools.enablement.postgresql",1276260765660
stopped,bundle,org.eclipse.datatools.enablement.sap.maxdb,1.0.0.v200906020900,"org.eclipse.datatools.enablement.sap.maxdb",1276260765661
stopped,bundle,org.eclipse.datatools.enablement.ingres,1.0.0.v200906111150,"org.eclipse.datatools.enablement.ingres",1276260765662
stopped,bundle,org.eclipse.datatools.enablement.msft.sqlserver,1.0.1.v201001180222,"org.eclipse.datatools.enablement.msft.sqlserver",1276260765667
stopped,bundle,org.eclipse.datatools.enablement.mysql,1.0.2.v201002041110,"org.eclipse.datatools.enablement.mysql",1276260765668
stopped,bundle,org.eclipse.datatools.enablement.sqlite,1.0.0.v201002041110,"org.eclipse.datatools.enablement.sqlite",1276260765676
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core,1.1.1.v201001180200,"org.eclipse.datatools.connectivity.sqm.core",1276260765678
stopped,bundle,org.eclipse.datatools.modelbase.dbdefinition,1.0.1.v200906022249,"org.eclipse.datatools.modelbase.dbdefinition",1276260765679
stopped,bundle,org.eclipse.datatools.modelbase.sql.edit,1.0.0.v200906022249,"org.eclipse.datatools.modelbase.sql.edit",1276260765682
stopped,bundle,org.eclipse.datatools.sqltools.parsers.sql.xml.query,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.parsers.sql.xml.query",1276260765685
stopped,bundle,org.eclipse.datatools.sqltools.parsers.sql.query,1.0.1.v200906022302,"org.eclipse.datatools.sqltools.parsers.sql.query",1276260765689
stopped,bundle,org.eclipse.datatools.sqltools.parsers.sql,1.0.1.v200906022302,"org.eclipse.datatools.sqltools.parsers.sql",1276260765689
stopped,bundle,org.eclipse.emf.databinding.edit,1.1.0.v200906151043,"org.eclipse.emf.databinding.edit",1276260765689
stopped,bundle,org.eclipse.emf.databinding,1.1.0.v200906151043,"org.eclipse.emf.databinding",1276260765689
stopped,bundle,org.eclipse.emf.ecore.change.edit,2.5.0.v200906151043,"org.eclipse.emf.ecore.change.edit",1276260765690
stopped,bundle,org.eclipse.datatools.modelbase.sql.query.edit,1.0.0.v200906022249,"org.eclipse.datatools.modelbase.sql.query.edit",1276260765692
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore,2.5.0.v200906151043,"org.eclipse.emf.mapping.ecore2ecore",1276260765692
stopped,bundle,org.eclipse.emf.ecore.edit,2.5.0.v200906151043,"org.eclipse.emf.ecore.edit",1276260765697
stopped,bundle,org.eclipse.emf.mapping,2.5.0.v200906151043,"org.eclipse.emf.mapping",1276260765697
stopped,bundle,org.eclipse.xsd.edit,2.5.0.v200906151043,"org.eclipse.xsd.edit",1276260765699
stopped,bundle,org.eclipse.emf.edit,2.5.0.v200906151043,"org.eclipse.emf.edit",1276260765699
stopped,bundle,org.eclipse.emf.ecore.change,2.5.0.v200906151043,"org.eclipse.emf.ecore.change",1276260765700
stopped,bundle,org.eclipse.emf.mapping.ecore2xml,2.5.0.v200906151043,"org.eclipse.emf.mapping.ecore2xml",1276260765701
stopped,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1276260765703
stopped,bundle,org.eclipse.datatools.connectivity.oda.design,3.2.2.v201001210350,"org.eclipse.datatools.connectivity.oda.design",1276260765704
