what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276253915337
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276253928277
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276253930081
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276253939364
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1276253949594
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276253951805
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276253952855
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276253978466
activated,editor,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.core.csssource.source",1276253981798
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276253986433
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276253987150
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276253992136
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276253995078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276253995949
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254057485
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1276254063057
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1276254064674
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276254066022
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254066990
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254076500
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1276254079062
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1276254079304
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1276254079440
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276254080158
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254080811
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254088729
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276254094810
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254095433
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254108476
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1276254110976
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276254113601
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254114333
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254119336
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1276254123543
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1276254123699
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1276254123864
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276254125769
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254126428
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254135170
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276254139563
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254140270
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254249259
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1276254253803
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1276254254326
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1276254255338
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276254256090
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1276254258281
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1276254260757
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1276254261376
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276254263028
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1276254266969
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276254271913
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254273100
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254294864
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1276254297543
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276254299643
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254300199
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254343802
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254345369
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254353230
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1276254356941
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1276254361061
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1276254361276
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1276254383412
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1276254384698
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1276254385689
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1276254386999
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276254388458
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1276254389145
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1276254389510
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276254390310
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276254394805
opened,editor,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.core.csssource.source",1276254397337
activated,editor,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.core.csssource.source",1276254397591
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1276254417639
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1276254420173
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1276254425743
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276254430290
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254431149
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254445523
activated,editor,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.core.csssource.source",1276254451291
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1276254458551
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1276254463041
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1276254463233
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1276254463406
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1276254463555
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276254464485
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254465098
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254504124
activated,editor,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.core.csssource.source",1276254517175
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1276254541418
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1276254541728
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1276254542618
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1276254547346
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1276254555312
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1276254560021
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254562237
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276254584039
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1276254586784
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1276254588581
